,Features
0,L_bankssts_thickavg
1,L_caudalanteriorcingulate_thickavg
2,L_caudalmiddlefrontal_thickavg
3,L_cuneus_thickavg
4,L_entorhinal_thickavg
5,L_fusiform_thickavg
6,L_inferiorparietal_thickavg
7,L_inferiortemporal_thickavg
8,L_isthmuscingulate_thickavg
9,L_lateraloccipital_thickavg
10,L_lateralorbitofrontal_thickavg
11,L_lingual_thickavg
12,L_medialorbitofrontal_thickavg
13,L_middletemporal_thickavg
14,L_parahippocampal_thickavg
15,L_paracentral_thickavg
16,L_parsopercularis_thickavg
17,L_parsorbitalis_thickavg
18,L_parstriangularis_thickavg
19,L_pericalcarine_thickavg
20,L_postcentral_thickavg
21,L_posteriorcingulate_thickavg
22,L_precentral_thickavg
23,L_precuneus_thickavg
24,L_rostralanteriorcingulate_thickavg
25,L_rostralmiddlefrontal_thickavg
26,L_superiorfrontal_thickavg
27,L_superiorparietal_thickavg
28,L_superiortemporal_thickavg
29,L_supramarginal_thickavg
30,L_frontalpole_thickavg
31,L_temporalpole_thickavg
32,L_transversetemporal_thickavg
33,L_insula_thickavg
34,L_bankssts_surfavg
35,L_caudalanteriorcingulate_surfavg
36,L_caudalmiddlefrontal_surfavg
37,L_cuneus_surfavg
38,L_entorhinal_surfavg
39,L_fusiform_surfavg
40,L_inferiorparietal_surfavg
41,L_inferiortemporal_surfavg
42,L_isthmuscingulate_surfavg
43,L_lateraloccipital_surfavg
44,L_lateralorbitofrontal_surfavg
45,L_lingual_surfavg
46,L_medialorbitofrontal_surfavg
47,L_middletemporal_surfavg
48,L_parahippocampal_surfavg
49,L_paracentral_surfavg
50,L_parsopercularis_surfavg
51,L_parsorbitalis_surfavg
52,L_parstriangularis_surfavg
53,L_pericalcarine_surfavg
54,L_postcentral_surfavg
55,L_posteriorcingulate_surfavg
56,L_precentral_surfavg
57,L_precuneus_surfavg
58,L_rostralanteriorcingulate_surfavg
59,L_rostralmiddlefrontal_surfavg
60,L_superiorfrontal_surfavg
61,L_superiorparietal_surfavg
62,L_superiortemporal_surfavg
63,L_supramarginal_surfavg
64,L_frontalpole_surfavg
65,L_temporalpole_surfavg
66,L_transversetemporal_surfavg
67,L_insula_surfavg
68,L_bankssts_grayvol
69,L_caudalanteriorcingulate_grayvol
70,L_caudalmiddlefrontal_grayvol
71,L_cuneus_grayvol
72,L_entorhinal_grayvol
73,L_fusiform_grayvol
74,L_inferiorparietal_grayvol
75,L_inferiortemporal_grayvol
76,L_isthmuscingulate_grayvol
77,L_lateraloccipital_grayvol
78,L_lateralorbitofrontal_grayvol
79,L_lingual_grayvol
80,L_medialorbitofrontal_grayvol
81,L_middletemporal_grayvol
82,L_parahippocampal_grayvol
83,L_paracentral_grayvol
84,L_parsopercularis_grayvol
85,L_parsorbitalis_grayvol
86,L_parstriangularis_grayvol
